Data/Hora, TI, TE, TR, Intensidade
21/03/2021 16:29:10, 36.061523, 22.150405, 36.000000, -44.558594
21/03/2021 16:29:12, 37.157227, 22.150405, 36.000000, -52.351562
21/03/2021 16:29:14, 35.674805, 22.150405, 36.000000, -39.648438
21/03/2021 16:29:17, 33.676758, 22.150405, 36.000000, -22.820312
21/03/2021 16:29:19, 31.227539, 22.150405, 36.000000, -1.222656
21/03/2021 16:29:22, 28.037109, 22.150405, 36.000000, 18.409180
21/03/2021 16:29:24, 26.844727, 22.150405, 36.000000, 42.681641
21/03/2021 16:29:26, 27.166992, 22.150405, 36.000000, 58.736328
21/03/2021 16:29:29, 32.645508, 22.150405, 36.000000, 23.099609
21/03/2021 16:29:31, 37.382812, 22.150405, 36.000000, -3.610352
21/03/2021 16:29:34, 39.541992, 22.150405, 36.000000, -6.440430
21/03/2021 16:29:36, 40.186523, 22.150405, 36.000000, -7.240234
21/03/2021 16:29:38, 39.026367, 22.150405, 36.000000, -7.492188
21/03/2021 16:29:41, 37.382812, 22.150405, 36.000000, -2.040039
21/03/2021 16:29:43, 36.512695, 22.150405, 36.000000, 7.601562
21/03/2021 16:29:46, 36.706055, 22.150405, 36.000000, -3.446289
21/03/2021 16:29:48, 37.543945, 22.150405, 36.000000, -13.108398
21/03/2021 16:29:50, 36.641602, 22.150405, 36.000000, -5.690430
21/03/2021 16:29:53, 34.933594, 22.150405, 36.000000, 4.982422
21/03/2021 16:29:55, 35.352539, 22.150405, 36.000000, 4.182617
21/03/2021 16:29:58, 33.966797, 22.150405, 36.000000, 17.240234
21/03/2021 16:30:00, 34.740234, 22.150405, 36.000000, 10.220703
21/03/2021 16:30:02, 34.643555, 22.150405, 36.000000, 17.670898
21/03/2021 16:30:05, 34.514648, 22.150405, 36.000000, 20.802734
21/03/2021 16:30:07, 35.223633, 22.150405, 36.000000, 18.810547
21/03/2021 16:30:10, 34.708008, 22.150405, 36.000000, 25.261719
21/03/2021 16:30:12, 34.321289, 22.150405, 36.000000, 30.488281
21/03/2021 16:30:14, 33.418945, 22.150405, 36.000000, 41.837891
21/03/2021 16:30:17, 32.935547, 22.150405, 36.000000, 47.805664
21/03/2021 16:30:19, 33.644531, 22.150405, 36.000000, 46.554688
21/03/2021 16:30:22, 33.451172, 22.150405, 36.000000, 52.619141
21/03/2021 16:30:24, 33.934570, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:26, 34.353516, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:29, 34.321289, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:31, 34.804688, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:34, 35.159180, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:36, 34.353516, 22.150405, 54.000000, 100.000000
